state,primary_health_centers,community_health_centers,sub_district_hospitals,district_hospitals,public_health_facilities,public_beds,rural_hospitals,rural_beds,urban_hospitals,urban_beds
Andaman and Nicobar Islands,27,4.0,1.6,3.0,34.0,1246.0,27.0,575.0,3.0,500.0
Andhra Pradesh,1417,198.0,31.0,20.0,1666.0,60799.0,193.0,6480.0,65.0,16658.0
Arunachal Pradesh,122,62.0,1.6,15.0,199.0,2320.0,208.0,2136.0,10.0,268.0
Assam,1007,166.0,14.0,33.0,1220.0,19115.0,1176.0,10944.0,50.0,6198.0
Bihar,2007,63.0,33.0,43.0,2146.0,17796.0,930.0,6083.0,103.0,5936.0
Chandigarh,40,2.0,1.0,4.0,47.0,3756.0,0.0,0.0,4.0,778.0
Chhattisgarh,813,166.0,12.0,32.0,1023.0,14354.0,169.0,5070.0,45.0,4342.0
Dadra and Nagar Haveli,9,2.0,1.0,1.0,13.0,568.0,10.0,273.0,1.0,316.0
Daman and Diu,4,2.0,1.6,2.0,8.0,298.0,5.0,240.0,0.0,0.0
Delhi,534,25.0,9.0,47.0,615.0,20572.0,0.0,0.0,109.0,24383.0
Goa,31,4.0,2.0,3.0,40.0,2666.0,17.0,1405.0,25.0,1608.0
Gujarat,1770,385.0,44.0,37.0,2236.0,41129.0,364.0,11715.0,122.0,20565.0
Haryana,500,131.0,24.0,28.0,683.0,13841.0,609.0,6690.0,59.0,4550.0
Himachal Pradesh,516,79.0,61.0,15.0,671.0,8706.0,705.0,5665.0,96.0,6734.0
Jammu and Kashmir,702,87.0,25.8,29.0,818.0,11342.0,56.0,7234.0,76.0,4417.0
Jharkhand,343,179.0,13.0,23.0,558.0,7404.0,519.0,5842.0,36.0,4942.0
Karnataka,2547,207.0,147.0,42.0,2943.0,56333.0,2471.0,21072.0,374.0,49093.0
Kerala,933,229.0,82.0,53.0,1297.0,39511.0,981.0,16865.0,299.0,21139.0
Lakshadweep,4,3.0,2.0,1.0,10.0,250.0,9.0,300.0,0.0,0.0
Madhya Pradesh,1420,324.0,72.0,51.0,1867.0,38140.0,334.0,10020.0,117.0,18819.0
Maharashtra,2638,430.0,101.0,70.0,3239.0,68998.0,273.0,12398.0,438.0,39048.0
Manipur,87,17.0,1.0,9.0,114.0,2562.0,23.0,730.0,7.0,697.0
Meghalaya,138,29.0,4.6,13.0,180.0,4585.0,143.0,1970.0,14.0,2487.0
Mizoram,65,10.0,3.0,9.0,87.0,2312.0,56.0,604.0,34.0,1393.0
Nagaland,134,21.0,1.6,11.0,166.0,1944.0,21.0,630.0,15.0,1250.0
Odisha,1360,377.0,27.0,35.0,1799.0,16497.0,1655.0,6339.0,149.0,12180.0
Puducherry,40,4.0,5.0,4.0,53.0,4462.0,3.0,96.0,11.0,3473.0
Punjab,521,146.0,47.0,28.0,742.0,13527.0,510.0,5805.0,172.0,12128.0
Rajasthan,2463,579.0,64.0,33.0,3139.0,51844.0,602.0,21088.0,150.0,10760.0
Sikkim,25,2.0,1.0,4.0,32.0,1145.0,24.0,260.0,9.0,1300.0
Tamil Nadu,1854,385.0,310.0,32.0,2581.0,72616.0,692.0,40179.0,525.0,37353.0
Telangana,788,82.0,47.0,15.0,932.0,17358.0,802.0,7668.0,61.0,13315.0
Tripura,114,22.0,12.0,9.0,157.0,4895.0,99.0,1140.0,56.0,3277.0
Uttar Pradesh,3277,671.0,138.4,174.0,4122.0,58310.0,4442.0,39104.0,193.0,37156.0
Uttarakhand,275,69.0,19.0,20.0,383.0,6660.0,410.0,3284.0,50.0,5228.0
West Bengal,1374,406.0,70.0,55.0,1905.0,51163.0,1272.0,19684.0,294.0,58882.0
All India,"29,899",5568.0,1255.0,1003.0,37725.0,739024.0,19810.0,279588.0,3772.0,431173.0
