state,population,Male literacy rate %,Female literacy rate %,Average literacy rate %,area,GDP,per capita in,Female to Male ratio,Hindu,Muslim,Christian,Sikhs,Buddhist,Others,density
Andaman and Nicobar Islands,404000.0,90.11,81.84,86.27,8249.0,0.89,229000.0,1045.0,0.6945,0.0852,0.2128,0.0034,0.0009,0.0032,48.97563341011032
Andhra Pradesh,53402000.0,73.4,59.5,66.4,162970.0,14.5,219518.0,963.0,0.9087,0.0733,0.0138,0.0002,0.0001,0.0039,327.6799410934528
Arunachal Pradesh,1580000.0,73.69,59.57,66.95,83743.0,0.38,256410.0,997.0,0.2904,0.0195,0.3026,0.0024,0.1177,0.2674,18.867248605853625
Assam,36159000.0,90.1,81.2,85.9,78438.0,5.67,118504.0,1012.0,0.6147,0.3422,0.0374,0.0007,0.0018,0.0032,460.9882964889467
Bihar,129205000.0,79.7,60.5,70.9,94163.0,8.59,54000.0,1090.0,0.8269,0.1687,0.0012,0.0002,0.0002,0.0028,1372.1419241103195
Chandigarh,1247000.0,90.54,81.38,86.43,114.0,0.49,333000.0,917.0,0.8078,0.0487,0.0011,0.1311,0.04116,0.0113,10938.59649122807
Chhattisgarh,30638000.0,85.4,68.7,77.3,135192.0,5.09,152348.0,1015.0,0.9325,0.0202,0.0192,0.0027,0.0028,0.0226,226.62583584827505
Dadra and Nagar Haveli and Daman and Diu,1387000.0,89.5,76.2,80.5,603.0,0.524,302890.4,827.0,0.9393,0.0376,0.0149,0.0006,0.0018,0.0058,2300.1658374792705
Delhi,21884000.0,93.7,82.4,88.7,1483.0,10.4,444768.0,913.0,0.8168,0.1286,0.0087,0.034,0.0011,0.0108,14756.574511126095
Goa,1585000.0,92.81,81.84,87.4,3702.0,1.0,527146.0,1027.0,0.6608,0.0833,0.251,0.001,0.0008,0.0031,428.1469475958941
Gujarat,72653000.0,89.5,74.8,82.4,196244.0,25.63,281804.0,965.0,0.8857,0.0967,0.0052,0.001,0.0005,0.0109,370.21768818409737
Haryana,30694000.0,88.0,71.3,80.4,44212.0,11.2,304422.0,926.0,0.8746,0.0703,0.002,0.0491,0.0003,0.0037,694.2459060888447
Himachal Pradesh,7518000.0,92.9,80.5,86.6,55673.0,2.14,286401.0,1040.0,0.9517,0.0218,0.0018,0.0116,0.0115,0.0016,135.03852855064395
Jammu and Kashmir,13733000.0,85.7,68.0,77.3,55538.0,2.3,132000.0,968.0,0.2844,0.6831,0.0028,0.0187,0.009,0.002,247.2721379956066
Jharkhand,40129000.0,83.0,64.7,74.3,79716.0,4.23,86060.0,1050.0,0.6783,0.1453,0.043,0.0022,0.0003,0.1309,503.3995684680616
Karnataka,68256000.0,83.4,70.5,77.2,191791.0,25.7,331981.0,1034.0,0.84,0.1292,0.0187,0.0005,0.0016,0.01,355.8873982616494
Kerala,35967000.0,97.4,95.2,96.2,38852.0,11.3,257711.0,1121.0,0.5473,0.2656,0.1838,0.0001,0.0001,0.0031,925.7438484505302
Lakshadweep,69000.0,96.11,88.25,92.28,32.0,0.518,307170.0,1187.0,0.0277,0.9658,0.0049,0.0001,0.0002,0.0013,2156.25
Madhya Pradesh,87954000.0,81.2,65.5,73.7,308252.0,13.87,137339.0,970.0,0.9089,0.0657,0.0029,0.0021,0.0003,0.0201,285.3314820341798
Maharashtra,127684000.0,90.7,78.4,84.8,307713.0,38.8,248632.0,966.0,0.7983,0.1154,0.0096,0.002,0.0581,0.0166,414.94509494236513
Manipur,3260000.0,86.49,73.17,79.85,22327.0,0.45,94363.0,1066.0,0.4139,0.084,0.4129,0.0005,0.0025,0.0862,146.01155551574328
Meghalaya,3387000.0,77.17,73.78,75.48,22429.0,0.47,110002.0,1039.0,0.1153,0.044,0.7459,0.001,0.0033,0.0905,151.0098533149048
Mizoram,1252000.0,93.72,89.4,91.58,21081.0,0.36,175896.0,1018.0,0.0275,0.0135,0.8716,0.0003,0.0851,0.002,59.38997201271287
Nagaland,2258000.0,83.29,76.69,80.11,16579.0,0.37,175551.0,1007.0,0.0875,0.0247,0.8793,0.001,0.0034,0.0041,136.19639302732372
Odisha,46663000.0,84.0,70.3,77.3,155707.0,8.65,150000.0,1063.0,0.9363,0.0217,0.0277,0.0005,0.0003,0.0135,299.6846641448361
Puducherry,1695000.0,92.12,81.22,86.55,490.0,0.39,222000.0,1112.0,0.873,0.0605,0.0629,0.0002,0.0004,0.003,3459.183673469388
Punjab,30992000.0,88.5,78.5,83.7,50362.0,6.98,173873.0,938.0,0.3849,0.0193,0.0126,0.5769,0.0001,0.0062,615.3846153846154
Rajasthan,82188000.0,80.8,57.6,69.7,342239.0,15.7,129460.0,1099.0,0.8849,0.0907,0.0014,0.0127,0.0002,0.0101,240.14796677175892
Sikkim,697000.0,87.29,76.43,82.2,7096.0,0.47,541544.0,990.0,0.5776,0.0162,0.0991,0.0031,0.2739,0.0301,98.22435174746336
Tamil Nadu,77165000.0,87.9,77.9,82.9,130060.0,28.3,269000.0,1088.0,0.8758,0.0586,0.0612,0.0002,0.0002,0.004,593.3030908811318
Telangana,38317000.0,80.5,65.1,72.8,112077.0,14.0,317115.0,1049.0,0.851,0.1269,0.0127,0.0009,0.0009,0.0078,341.88102822166906
Tripura,4194000.0,92.18,83.15,87.75,10486.0,0.27,158382.0,1011.0,0.834,0.086,0.0435,0.0003,0.0341,0.0021,399.96185390043865
Uttar Pradesh,238875000.0,81.8,63.4,73.0,240928.0,24.39,81398.0,1017.0,0.7973,0.1926,0.0018,0.0032,0.001,0.0041,991.478782042768
Uttarakhand,11795000.0,94.3,80.7,87.6,53483.0,3.33,261173.0,1016.0,0.8297,0.1395,0.0037,0.0234,0.0015,0.0022,220.5373670138175
West Bengal,99723000.0,84.8,76.1,80.5,88752.0,17.19,141000.0,1049.0,0.7054,0.2701,0.0072,0.0007,0.0031,0.0135,1123.614115738237
